time_new,AnkleAngle(deg),moment
0.90467906,5.97522241,-22.16119554
0.905,5.98625332,-22.25923583
0.90555763,6.01409796,-22.41523445
0.90611526,6.04205695,-22.57121767
0.90791788,6.05369022,-23.07521133
0.90972051,6.06082956,-23.57899107
0.91,6.06798121,-23.65708491
0.91026764,6.10074585,-23.71522641
0.91053528,6.14132026,-23.77336501
0.91187348,6.14499746,-24.06401441
0.91338454,6.14810201,-24.39212213
0.91489561,6.15121002,-24.72013718
0.915,6.16684316,-24.7427941
0.91523674,6.19404673,-24.78221319
0.91547347,6.22170345,-24.82163056
0.91665715,6.24018535,-25.0186911
0.91811072,6.24321047,-25.26062403
0.91956429,6.24623461,-25.50243721
0.92,6.26136073,-25.57487184
0.92008959,6.29019243,-25.58454452
0.92017919,6.31906336,-25.594217
0.92062715,6.33706085,-25.6425769
0.9224128,6.33857734,-25.83530361
0.92484419,6.34009343,-26.09761623
0.925,6.34767139,-26.11442125
0.92511568,6.38573539,-26.12184174
0.92523137,6.43336522,-26.12926202
0.92580978,6.434114,-26.16636094
0.92769137,6.43742904,-26.28701496
0.92957297,6.44074271,-26.407623
0.93,6.45730103,-26.43498861
0.93017584,6.48677713,-26.44528762
0.93035167,6.51609954,-26.45558629
0.93123085,6.53072489,-26.50707402
0.93273804,6.53269087,-26.59534786
0.93424524,6.53465671,-26.68360763
0.935,6.54448635,-26.72779593
0.93513065,6.58091163,-26.740908
0.93526129,6.61727166,-26.75401976
0.93591453,6.6265616,-26.81957339
0.93776568,6.62777339,-27.00529502
0.93961683,6.62898516,-27.19094865
0.94,6.63504257,-27.22936869
0.94012049,6.66518228,-27.25011002
0.94024099,6.69484298,-27.27085084
0.94084346,6.72035727,-27.37454767
0.94262048,6.7228154,-27.68033242
0.94467802,6.72527431,-28.03428319
0.945,6.73757236,-28.08967522
0.94518427,6.77241466,-28.13634806
0.94536854,6.80687711,-28.18301927
0.94628989,6.81172687,-28.41635073
0.94787803,6.81319452,-28.81845079
