time_new,AnkleAngle(deg),moment_newnew
1.05519679,8.32192397,-46.94149901
1.05568877,8.35521654,-46.95687205
1.05728479,8.38461365,-47.00672553
1.0586776,8.41463682,-47.0499844
1.06,8.41648063,-47.08878073
1.06009234,8.41849651,-47.09077572
1.06018469,8.42051555,-47.09277052
1.06064641,8.43066184,-47.10274338
1.06222986,8.46696786,-47.13692709
1.06359153,8.49901328,-47.16630052
1.06495319,8.5316975,-47.19565334
1.065,8.53345549,-47.19666192
1.06506543,8.53494045,-47.19808955
1.06513086,8.53642687,-47.19951712
1.06545802,8.54388147,-47.20665419
1.0670025,8.5817659,-47.24033172
1.06831017,8.61493153,-47.26882448
1.06961784,8.64862403,-47.29729799
1.07,8.66021597,-47.30561549
1.07004692,8.66144225,-47.30732504
1.07009384,8.66266944,-47.30903456
1.07032843,8.66881941,-47.31758167
1.07150139,8.69994966,-47.35967797
1.07281541,8.73574131,-47.40508518
1.07412944,8.77216025,-47.45045741
1.075,8.79670699,-47.48049793
1.07503876,8.79780709,-47.48265475
1.07507753,8.7989078,-47.48481143
1.07527135,8.80442056,-47.49559446
1.07624045,8.83221832,-47.54949291
1.07764085,8.87274375,-47.6273303
1.07904126,8.91383597,-47.70510943
1.08,8.94225943,-47.75832455
1.08025596,8.9494506,-47.78087318
1.08051192,8.95666517,-47.80341892
1.08179171,8.99310213,-47.9161042
1.08314014,9.03468557,-48.03475412
1.08448856,9.07676577,-48.15217641
1.085,9.09619414,-48.19631194
1.08529317,9.10492965,-48.22832983
1.08558635,9.11369204,-48.26034221
1.08705222,9.15790983,-48.42032382
1.08851808,9.20269532,-48.58017111
1.08998395,9.24785924,-48.73988381
1.09,9.25765233,-48.74163145
1.09026652,9.2666285,-48.77527404
1.09053305,9.27562753,-48.80891142
1.09186567,9.32098365,-48.97702251
1.09323857,9.36685584,-49.15008195
1.09461148,9.41303312,-49.3230065
1.095,9.42548074,-49.37191896
1.0952934,9.43695771,-49.41310788
1.09558681,9.44846054,-49.45428988
1.09705383,9.50391536,-49.65947857
1.09852086,9.55417589,-49.8637761
1.09998788,9.59822111,-50.06789173
1.1,9.60892391,-50.06957658
1.10029651,9.61963944,-50.1120858
1.10059303,9.67344406,-50.15458724
1.10207559,9.72132641,-50.36698031
1.10355816,9.76913502,-50.57918208
1.105,9.77368148,-50.78537204
1.1051042,9.77744886,-50.79922714
1.10520839,9.78121612,-50.81308149
1.10572938,9.80005307,-50.88233942
1.10732403,9.85604248,-51.09418764
1.10873618,9.90722444,-51.28161934
1.11,9.94886153,-51.44943038
1.11019652,9.95602865,-51.47751301
1.11039304,9.96319392,-51.50559233
1.11137565,9.99900806,-51.64593904
1.1127072,10.04481974,-51.83599274
1.11403874,10.09036647,-52.02589438
1.115,10.12197571,-52.16289134
1.11508081,10.12466378,-52.1767233
1.11516163,10.12735109,-52.19055445
1.11556569,10.14077701,-52.25970082
1.11710095,10.19207105,-52.52227428
1.11843642,10.236974,-52.7504838
1.11977189,10.28132201,-52.97851219
1.12,10.29101033,-53.01744292
1.12011458,10.29514184,-53.04011044
1.12022915,10.29926965,-53.06277658
1.12080203,10.31985383,-53.17608392
1.12228902,10.36957213,-53.47094176
1.12382123,10.43811347,-53.77557343
1.125,10.45301951,-54.00976527
1.12511705,10.45582198,-54.03518878
1.12523411,10.45862249,-54.06061057
1.12581937,10.47259842,-54.18769638
1.12755687,10.53434447,-54.56474882
1.12974501,10.59497112,-55.0391018
1.13,10.60760114,-55.0943422
1.13009092,10.61130546,-55.11422712
1.13018183,10.6150046,-55.13411122
1.13063641,10.63342483,-55.23351688
1.13242535,10.68381816,-55.62448345
1.13470195,10.74537251,-56.12266308
1.135,10.75335092,-56.18836607
1.13509933,10.758236,-56.21126285
1.13519866,10.76310791,-56.23415863
1.13569531,10.78728151,-56.34862247
1.13735951,10.82727601,-56.73199448
1.13902372,10.86623967,-57.1150846
1.14,10.88793439,-57.33968651
1.14012523,10.89246505,-57.36862738
1.14025045,10.89698134,-57.39756678
1.14087658,10.91936037,-57.54223934
1.14252874,10.95547302,-57.92379525
1.14463854,10.99053313,-58.41063508
1.145,11.01067671,-58.49399557
1.14510593,11.01449208,-58.51848774
1.14521186,11.01829389,-58.54297875
1.1457415,11.03710708,-58.66541669
1.14738986,11.07374866,-59.04810729
1.14947966,11.10886052,-59.53700136
1.15,11.12054985,-59.65867991
1.15010801,11.12358294,-59.68395938
1.15021603,11.12660496,-59.70923785
1.1507561,11.14155896,-59.83561695
1.15239169,11.17379997,-60.2182135
1.15463484,11.20463963,-60.74259324
1.155,11.21725012,-60.82792028
1.1551427,11.21902073,-60.85969146
1.15528541,11.22078653,-60.89146104
1.15599892,11.22954731,-61.05028673
1.15764922,11.25831934,-61.41749169
1.15929951,11.28391023,-61.78449536
1.16,11.3014965,-61.94212742
1.16006463,11.30281377,-61.95561447
1.16012926,11.30412737,-61.96910132
1.16045242,11.31064259,-62.03653259
1.1620682,11.33535613,-62.37361605
1.16342274,11.35552331,-62.6561064
1.16477728,11.37337203,-62.9385112
1.165,11.37392917,-62.98493754
1.16506101,11.37448544,-62.99644123
1.16512203,11.37725422,-63.00794468
1.16542709,11.39083189,-63.06545988
1.1669524,11.40771051,-63.35297673
1.16830356,11.42385146,-63.60758269
1.16965471,11.43405177,-63.86211145
1.17,11.43528942,-63.9271444
1.17008617,11.43652145,-63.94170462
