Time,AnkleAngle(deg),ActuatorMoment
0.87918213,5.49248115,-14.7346500055696
0.88,5.50877241,-14.9332991252944
0.88060298,5.52068657,-15.0931679882573
0.88120597,5.53253348,-15.2530047748521
0.88272,5.56198905,-15.6541989252619
0.88423404,5.59090566,-16.0555462864614
0.885,5.60533097,-16.258561699299
0.88586842,5.62158394,-16.5064257228393
0.88673684,5.6377561,-16.7542259696802
0.88820272,5.66484207,-17.1723667450767
0.8896686,5.69155865,-17.5903257984221
0.89,5.69755603,-17.6847898510267
0.89067777,5.70979687,-17.888327323972
0.89135553,5.72201555,-18.0918239084818
0.89286819,5.74920899,-18.5458451161172
0.89438085,5.7761842,-18.9996625238465
0.895,5.78716263,-19.1853568862543
0.89597364,5.80440658,-19.4847574258602
0.89694728,5.82166327,-19.7841585556265
0.8984925,5.84904401,-20.2591560855119
0.9,5.87564843,-20.7223573090903
0.90050325,5.88452083,-20.8762349181011
0.90100649,5.89340232,-21.0300905801817
0.90281005,5.92535906,-21.5813054113171
0.9046136,5.95736509,-22.1322380203843
0.905,5.96421723,-22.250233644948
0.90562012,5.97522241,-22.4334182906158
0.90624025,5.98625332,-22.6165706098408
0.90779657,6.01409796,-23.0760843792913
0.90935289,6.04205695,-23.5352090802004
0.91,6.05369022,-23.7260100410587
0.91039675,6.06082956,-23.8344077194518
0.91079349,6.06798121,-23.9427925174356
0.91259574,6.10074585,-24.4349757598367
0.91480095,6.14132026,-25.0368457924142
0.915,6.14499746,-25.0911514941731
0.91516792,6.14810201,-25.1243429349186
0.91533584,6.15121002,-25.1575326917634
0.91617544,6.16684316,-25.3234562026383
0.91760985,6.19404673,-25.6068326537229
0.91904427,6.22170345,-25.8900861271248
0.92,6.24018535,-26.0787448840789
0.92015662,6.24321047,-26.0995684572473
0.92031324,6.24623461,-26.1203910329904
0.92109633,6.26136073,-26.2244660122085
0.92258279,6.29019243,-26.4217607605095
0.92406926,6.31906336,-26.6189620769507
0.925,6.33706085,-26.7423911046252
0.9250786,6.33857734,-26.748736983708
0.9251572,6.34009343,-26.7550826998354
0.9255502,6.34767139,-26.7868088535708
0.92751519,6.38573539,-26.9453788789484
0.92996144,6.43336522,-27.142643078047
0.93,6.434114,-27.1457515258994
0.93017078,6.43742904,-27.156595344606
0.93034155,6.44074271,-27.1674385936473
0.93119544,6.45730103,-27.2216455112424
0.93271641,6.48677713,-27.3181632199933
0.93423738,6.51609954,-27.4146259711532
0.935,6.53072489,-27.462969773948
0.93510261,6.53269087,-27.4699377786191
0.93520522,6.53465671,-27.4769055465946
0.93571826,6.54448635,-27.5117408943981
0.93761599,6.58091163,-27.6405443210406
0.93951371,6.61727166,-27.7692671248687
0.94,6.6265616,-27.8022388697031
0.94006344,6.62777339,-27.81013689927
0.94012687,6.62898516,-27.8180348110173
0.94044405,6.63504257,-27.85752182503
0.94202996,6.66518228,-28.0548964734205
0.94361586,6.69484298,-28.2521705334745
0.945,6.72035727,-28.4242647138767
0.94513355,6.7228154,-28.4523366995867
0.94526709,6.72527431,-28.4804075405993
0.94593482,6.73757236,-28.6207437651955
0.94783354,6.77241466,-29.0200272161041
0.94973226,6.80687711,-29.4191611306082
0.95,6.81172687,-29.475426111272
0.95008096,6.81319452,-29.4986808338593
0.95016192,6.81466273,-29.5219349948908
0.95056673,6.82200987,-29.6381973348983
0.95250183,6.85709445,-30.1937675134625
0.955,6.90176717,-30.9105224329932
0.95515598,6.90454252,-30.9685313876904
0.95531197,6.90731829,-31.0265376035254
